Time,Speed,Frequency,Duty Cycle
12.099999999999973,3.3,4.0,32.0
12.199999999999973,4.949999999999999,4.0,32.0
12.299999999999972,6.6,4.0,32.0
12.399999999999972,8.25,4.0,32.0
12.499999999999972,9.899999999999999,4.0,32.0
12.599999999999971,11.549999999999999,4.0,32.0
12.69999999999997,13.2,4.0,32.0
12.79999999999997,14.85,4.0,32.0
12.89999999999997,16.5,4.0,32.0
12.99999999999997,18.15,4.0,32.0
13.09999999999997,19.799999999999997,4.0,32.0
13.199999999999969,21.45,4.0,32.0
13.299999999999969,23.099999999999998,4.0,32.0
13.399999999999968,24.75,4.027439024390244,32.0
13.499999999999968,26.4,4.087804878048781,32.0
13.599999999999968,28.049999999999997,4.148170731707317,32.0
13.699999999999967,29.7,4.208536585365854,32.0
13.799999999999967,31.349999999999998,4.26890243902439,32.0
